ID,Type,Classes,Article,MainText,HistoricalNote,DecodedRef,DecodedParts,DecodedTerm
se:1_1,Provision,section,1.1,"1.1. Dans le présent code, sauf disposition contraire, les expressions et mots suivants signifient ou désignent:1. «accessoire de sautage» : toute substance explosive servant à la mise à feu des explosifs;1.1. «ACNOR» : Association canadienne de normalisation;1.2. «amiante» : la forme fibreuse des silicates minéraux appartenant aux roches métamorphiques du groupe des serpentines, c’est-à-dire le chrysotile, et du groupe des amphiboles, c’est-à-dire l’actinolite, l’amosite, l’anthophyllite, le crocidolite, le trémolite, ou tout mélange contenant un ou plusieurs de ces minéraux;1.3. «aire de recul» : un espace balisé réservé aux manoeuvres de recul des véhicules automoteurs;2. «appareil de levage de matériaux» : appareil conçu pour le levage de matériaux, tels une grue, un pont roulant ou un chariot élévateur à plate-forme ou à fourche;2.1. «appareil de levage de personnes» : appareil conçu pour lever des personnes, tels un engin élévateur à nacelle, une plate-forme élévatrice automotrice à flèche articulée ou télescopique ou une plate-forme automotrice à ciseaux;3. «ASTM» : l’American Society for Testing and Materials;3.1. «bruits impulsionnels» : bruits de courte durée (généralement moins d’une seconde), atteignant un niveau très élevé, caractérisés par une élévation brusque et une décroissance rapide du niveau sonore. Le paramètre utilisé pour la mesure des bruits impulsionnels est le niveau de pression acoustique de crête pondéré C;4. (paragraphe abrogé);5. (paragraphe abrogé);6. (paragraphe abrogé);7. «boulonnage» : méthode de soutènement des parois par des boulons ou autres dispositifs similaires ancrés dans le roc;7.0.0. «calculette» : outil de calcul permettant d’évaluer le niveau d’exposition quotidienne au bruit (LEX,8h ou Lex,8h) aux fins de la réduction du temps d’exposition quotidienne au bruit des travailleurs;7.0. «CAN/CSA» : Canadian Standards Association;7.1. «corde d’assurance» : corde de fibres synthétiques, câble en acier ou sangle fixée à un système d’ancrage et servant à guider un coulisseau;8. «chantier de construction qui présente un risque élevé» : un chantiera) d’excavation de 6 m de profondeur ou plus;b) de tranchée, au sens du paragraphe 34 du présent article, de 50 m ou plus de longueur;c) où sont effectués des travaux d’aqueduc ou d’égout sur une longueur de 50 m ou plus;d) souterrain;e) où sont effectués des travaux en plongée ou en milieu hyperbare;f) de démolition;g) de bâtiment, de structure ou d’élément de structure de 15 m de hauteur ou plus;h) de construction ou de réparation de lignes de transport d’énergie électrique ou des supports de celles-ci;i) où sont effectués des travaux à une distance de 3 m ou moins d’une ligne électrique d’une tension supérieure à 750 V;j) où sont effectués des travaux au-dessus ou à proximité de l’eau;k) où sont effectués des travaux de dragage;l) où sont effectués des travaux dans une centrale électrique ou dans un poste de transformation d’énergie électrique;m) où sont effectués des travaux dans un espace clos;n) où l’on fait l’usage ou la manutention d’explosifs;o) où sont effectués des travaux à risque élevé au sens du paragraphe 3 de l’article 3.23.2 du présent Code;8.1. «chantier de construction de grande importance» : un chantier où sont employés simultanément au moins 500 travailleurs à un moment donné des travaux;9. «chantier souterrain» : un chantier de construction où s’effectuent des travaux reliés à l’excavation de tunnels ou de puits;10. «charge nominale» : charge maximale établie par le fabricant;11. «construction incombustible» : construction dont les membres de la charpente y compris les planchers et les assemblages sont faits de matériaux incombustibles;12. (paragraphe abrogé);12.0. «cordon d’assujettissement» : corde ou sangle dont une extrémité est fixée au harnais de sécurité et dont l’autre extrémité est fixée à un système d’ancrage ou à un autre élément d’une liaison d’arrêt de chute;12.1. «creusement» : tout trou creusé dans le sol, y compris une excavation ou une tranchée;13. «dépôt» : bâtiment, construction ou coffre dans lequel des explosifs sont entreposés;13.1. (paragraphe abrogé);13.2. «dBA» : pondération A - cette pondération réduit l’importance des fréquences extrêmes, en particulier les basses fréquences sous 200 Hz, et augmente celle des fréquences voisines de 2 500 Hz. La pondération A doit être utilisée pour toutes les mesures nécessaires pour évaluer le LEX,8h ou Lex,8h;13.3. «dBC» : pondération C - cette pondération réduit l’importance des fréquences égales ou inférieures à 31 Hz et de celles égales ou supérieures à 8 000 Hz. La pondération C doit être utilisée pour toutes les mesures nécessaires pour évaluer le niveau de pression acoustique de crête;14. «écaillage» : purgeage tel que défini au paragraphe 31;14.1. «échafaudage à crics» : un échafaudage à tour et à plate-forme constitué d’une plate-forme de travail qui se déplace le long de 2 colonnes au moyen de crics;14.2. «échafaudage à tour et à plate-forme» : un échafaudage constitué d’une plate-forme de travail qui se déplace, en montée et en descente au moyen d’un système de levage, le long d’une ou de plusieurs colonnes ainsi que d’un système d’amarrage;14.3. «échafaudage à treuils» : un échafaudage à tour et à plate-forme dont les colonnes sont reliées par des entretoises ou des croisillons supportant une plate-forme de travail qui se déplace au moyen d’un système de levage fait de treuils, de poulies et de câbles;15. «échafaudage d’étaiement» : assemblage de cadres d’échafaudage tubulaire utilisé pour l’étaiement de coffrages à béton;15.01. «échafaudage motorisé» : un échafaudage à tour et à plate-forme constitué d’un système de levage fait d’un moteur électrique, pneumatique, hydraulique, au gaz ou à l’essence;15.1. «échafaudage volant» : une plateforme suspendue par un ou plusieurs câbles fixés à un ancrage et dont le déplacement vertical s’effectue au moyen d’un treuil manuel ou motorisé;16. (paragraphe abrogé);17. «entreprise d’exploitation d’énergie électrique» : une personne, société, compagnie, coopérative ou municipalité exploitant un réseau de transport ou de distribution d’énergie électrique;17.1. «espace clos» : espace qui n’est pas conçu pour être occupé par une personne, notamment un réservoir, un silo, une cuve, un caisson, un pieu de fondation, une cheminée ou un puits d’accès;17.2. «examen non destructif» : un examen par radiographie, ultrason, magnétoscopie ou ressuage, effectué et interprété par un opérateur d’appareillage en essais non destructifs certifié au niveau 2 par l’Organisme de certification national en essais non destructifs du ministère des Ressources naturelles du Canada en vertu de la norme Essais non destructifs - Qualification et certification du personnel, CAN/CGSB-48.9712;18. «excavation» : partie de terrain creusée à une profondeur d’au moins 1,2 m et dont la largeur de la base est supérieure à la profondeur;18.1. «explosif» : toute substance fabriquée, manufacturée ou utilisée pour produire une explosion ou une détonation, tels la poudre à canon, la poudre propulsive, la dynamite, un explosif en bouillie, la gélatine aqueuse, un agent de sautage et un accessoire de sautage;19. (paragraphe abrogé);20. «fabricant» : manufacturier ou son agent ou, dans les cas où la fabrication s’effectue à pied d’oeuvre, l’employeur;21. «facteur de sécurité» : rapport entre la charge de rupture et la charge d’utilisation;21.1. «fibre respirable d’amiante» : toute fibre d’amiante dont le rapport longueur-diamètre est supérieur à 3:1; seules les fibres d’une longueur supérieure à 5 μm doivent être prises en compte à des fins de mesure; 21.2. «filtre à haute efficacité» : filtre pouvant filtrer des particules d’une dimension de 0,3 µm à un taux d’efficacité d’au moins 99,97%;22. «front» : point de travail le plus avancé dans une direction donnée, dans une excavation souterraine, à un niveau donné;23. (paragraphe abrogé);23.0. «hauteur de chute libre» : distance verticale mesurée du début d’une chute, à partir de l’anneau en D du harnais où est fixée la liaison d’arrêt de chute, jusqu’au point où le système d’arrêt de chute commence à appliquer une force pour arrêter la chute;23.1. «ISO» : l’Organisation internationale de normalisation;24. «jumbo» : chariot porte-marteaux conçu pour pratiquer le forage du front sans avoir recours au démontage répétitif des perforatrices;24.0. «liaison d’arrêt de chute» : ensemble des équipements, tel un cordon d’assujettissement, un absorbeur d’énergie, un mousqueton, un connecteur, une corde d’assurance ou un coulisseau, servant à relier un harnais de sécurité à un système d’ancrage;24.1. (paragraphe abrogé);24.2. «matériau friable» : matériau qui peut être émietté, pulvérisé ou réduit en poudre manuellement lorsqu’il est sec ou qui est émietté, pulvérisé ou réduit en poudre;25. «matériau incombustible» : matériau conforme à la norme Méthode d’essai normalisée pour la détermination de l’incombustibilité des matériaux de construction, CAN-4-S114, applicable au moment de la fabrication de l’équipement;25.01. «merlon» : barricade de sacs de sable, monticule de terre ou l’équivalent situés à moins de 50 cm du dépôt et dont la hauteur est au moins aussi élevée que le dépôt;25.1. «mur de protection» : une cloison en contre-plaqué d’au moins 9 mm d’épaisseur ou faite dans un autre matériau rigide, d’une résistance équivalente ou supérieure, qui a une hauteur d’au moins 1,8 m et qui est située à au plus 100 mm du sol;25.2. «NF EN» : norme européenne éditée dans sa version française (NF) en France par l’Association française de normalisation;26. «NFPA» : National Fire Protection Association;26.1. «niveau d’exposition quotidienne au bruit» : le niveau d’exposition quotidienne au bruit est le niveau de pression acoustique continu équivalent (dBA), rapporté à une journée de travail de 8 heures. Il résulte de mesures qui ont intégré tous les types de bruit présents, incluant les bruits impulsionnels;26.2. «niveau de pression acoustique continu équivalent (dBA)» : le niveau de pression acoustique continu équivalent pondéré A est mesuré sur une période de temps donné. Il est identique au niveau de pression acoustique du bruit constant, ayant la même énergie acoustique pondérée A totale pour la même période de temps. Il correspond à des mesures qui ont intégré tous les types de bruit présents, y compris les bruits impulsionnels. Dans les formules du niveau d’exposition quotidienne au bruit, il correspond au Lp,A,eqTe ou au Leq,t soit le niveau de pression acoustique continu équivalent pondéré A pour la durée totale de la journée de travail en heures (Te ou Tw);26.3. «organisme certifié» : un organisme certifié par le Bureau canadien de soudage conformément aux exigences de la norme Qualification des organismes d’inspection en soudage, CSA W178.1;27. «palan fermé» : situation où le moufle du crochet, le lest du câble de levage ou d’autres accessoires fixés au câble de levage entrent en contact avec la pointe de la flèche ou de la fléchette;28. «pare-éclats» : couverture utilisée pour éviter la projection de pierres ou d’autres objets résultant du sautage d’explosifs;28.1. «pièce portante» : une pièce qui subit ou supporte les charges inhérentes à l’utilisation d’un appareil;29. «Pistolet de scellement à basse vélocité» : tout pistolet conçu de façon à ce que lorsqu’il est utilisé avec la charge explosive maximale permise selon les spécifications du fabricant, il n’imprime pas à l’attache une vitesse supérieure à 91,4 m par seconde ni ne lui transmet une énergie cinétique supérieure à 33 joules mesurés à une distance de 1,99 m à 2,01 m de la bouche du pistolet;29.01. «plate-forme élévatrice mobile de personnel» : appareil destiné à déplacer des personnes, de l’outillage et des matériaux vers une position de travail et qui comprend minimalement une structure extensible, un châssis et une plate-forme pourvue de commandes;29.1. «poussières d’amiante» : les particules d’amiante en suspension dans l’air ou les particules d’amiante déposées susceptibles d’être mises en suspension dans l’air des lieux de travail;29.2. «pression acoustique de crête» : valeur maximale du niveau de la pression acoustique instantanée mesurée en décibels avec la pondération C;30. «puits» : passage creusé sous la surface du sol et dont l’axe longitudinal fait un angle de plus de 20º avec l’horizontale;31. «purgeage» : action de provoquer la chute de blocs qui tendent à se détacher d’une paroi;31.01. «SAE» : la Society of Automotive Engineers;31.1. «sellette» : siège conçu pour recevoir un travailleur en position assise, qui est supporté par des élingues ou par un bâti et qui est suspendu à un câble fixé à un ancrage;32. «signaux de danger» : une bande rigide, tel un tréteau, ou une bande flexible, d’une couleur jaune, orange ou rouge, d’une largeur d’au moins 70 mm et installée, en suivant la configuration du terrain ou de la structure, à une hauteur variant de 0,7 m à 1,2 m;33. «surface fragile» : surface n’étant pas prévue pour supporter le poids d’un travailleur, notamment un puits de lumière, un auvent, un pare-soleil ou un plafond en cloison sèche;33.1. «toilette à chasse» : toilette ayant les caractéristiques suivantes:a) la cuvette est munie d’une trappe ou d’un siphon qui la sépare physiquement et visuellement du tuyau d’évacuation ou du réservoir de traitement;b) les déchets sont évacués de la cuvette vers le système d’égout ou dans le réservoir de traitement à l’aide d’un dispositif entraînant un écoulement d’eau ou de produit chimique;33.2. «toilette chimique» : toilette sans cuvette dont les déchets tombent directement dans un réservoir contenant un produit chimique pour le traitement;34. «tranchée» : partie de terrain creusée à une profondeur d’au moins 1,2 m et dont la largeur de la base est égale ou inférieure à la profondeur. La largeur de la base se mesure entre les parois excavées ou entre une paroi excavée et une structure;34.0.1. «travaux au-dessus ou à proximité de l’eau» : travaux effectués au-dessus ou à moins de 2 m d’un plan d’eau ou d’un cours d’eau, soit qui a une profondeur de plus de 1,2 m et permet l’utilisation d’une embarcation, soit dont l’eau s’écoule à plus de 0,51 m/s et peut entraîner une personne;34.1. «trou de mine» : trou de forage destiné au chargement d’explosifs;34.2. «trou raté» : trou de mine chargé d’explosifs n’ayant pas été mis à feu lors du sautage;35. «tunnel» : couloir souterrain construit sans enlever le matériau formant la voûte, et dont l’axe longitudinal fait un angle de 20º ou moins par rapport à l’horizontale;36. «ULC» : Underwriters’ Laboratories of Canada;36.1. «véhicule automoteur» : tout véhicule à moteur monté sur roues, sur chenilles ou sur rails servant à transporter des personnes, des objets ou des matériaux, ou à tirer ou pousser des remorques ou des matériaux, à l’exception d’un véhicule tout terrain et d’un appareil de levage;37. «zone de chargement» : espace qui comprend l’endroit où des travailleurs procèdent au chargement des trous de mine, les trous de mine chargés et en voie de l’être ainsi que l’espace occupé par le matériel et l’équipement nécessaires au chargement;38. «zone de tir» : lieu et espace représentant un risque pour une personne, en raison de la projection, du souffle ou autres conséquences résultant d’un sautage.","R.R.Q., 1981, c. S-2.1, r. 6, a. 1.1; D. 749-83, a. 1; Décision 83-11-17, a. 1; D. 1959-86, a. 1; D. 53-90, a. 1; D. 54-90, a. 1; D. 995-91, a. 1; D. 807-92, a. 1; D. 329-94, a. 1; D. 1413-98, a. 1; D. 35-2001, a. 1; D. 119-2008, a. 1; D. 425-2010, a. 4; D. 393-2011, a. 1; D. 476-2013, a. 4; D. 606-2014, a. 1; D. 57-2015, a. 1; D. 428-2015, a. 1; D. 513-2015, a. 1; D. 1078-2015, a. 1; 483-2021D. 483-2021, a. 11; 646-2022D. 646-2022, a. 11; 781-2021D. 781-2021, a. 111; N.I. 2023-07-01; 1393-2024D. 1393-2024, a. 111; 63-2025D. 63-2025, a. 111.",1.1,Article=1.1,
se:1_1-ss:1,Provision,Subsection SubsectionFirst,1.1,"1.1. Dans le présent code, sauf disposition contraire, les expressions et mots suivants signifient ou désignent:1. «accessoire de sautage» : toute substance explosive servant à la mise à feu des explosifs;1.1. «ACNOR» : Association canadienne de normalisation;1.2. «amiante» : la forme fibreuse des silicates minéraux appartenant aux roches métamorphiques du groupe des serpentines, c’est-à-dire le chrysotile, et du groupe des amphiboles, c’est-à-dire l’actinolite, l’amosite, l’anthophyllite, le crocidolite, le trémolite, ou tout mélange contenant un ou plusieurs de ces minéraux;1.3. «aire de recul» : un espace balisé réservé aux manoeuvres de recul des véhicules automoteurs;2. «appareil de levage de matériaux» : appareil conçu pour le levage de matériaux, tels une grue, un pont roulant ou un chariot élévateur à plate-forme ou à fourche;2.1. «appareil de levage de personnes» : appareil conçu pour lever des personnes, tels un engin élévateur à nacelle, une plate-forme élévatrice automotrice à flèche articulée ou télescopique ou une plate-forme automotrice à ciseaux;3. «ASTM» : l’American Society for Testing and Materials;3.1. «bruits impulsionnels» : bruits de courte durée (généralement moins d’une seconde), atteignant un niveau très élevé, caractérisés par une élévation brusque et une décroissance rapide du niveau sonore. Le paramètre utilisé pour la mesure des bruits impulsionnels est le niveau de pression acoustique de crête pondéré C;4. (paragraphe abrogé);5. (paragraphe abrogé);6. (paragraphe abrogé);7. «boulonnage» : méthode de soutènement des parois par des boulons ou autres dispositifs similaires ancrés dans le roc;7.0.0. «calculette» : outil de calcul permettant d’évaluer le niveau d’exposition quotidienne au bruit (LEX,8h ou Lex,8h) aux fins de la réduction du temps d’exposition quotidienne au bruit des travailleurs;7.0. «CAN/CSA» : Canadian Standards Association;7.1. «corde d’assurance» : corde de fibres synthétiques, câble en acier ou sangle fixée à un système d’ancrage et servant à guider un coulisseau;8. «chantier de construction qui présente un risque élevé» : un chantiera) d’excavation de 6 m de profondeur ou plus;b) de tranchée, au sens du paragraphe 34 du présent article, de 50 m ou plus de longueur;c) où sont effectués des travaux d’aqueduc ou d’égout sur une longueur de 50 m ou plus;d) souterrain;e) où sont effectués des travaux en plongée ou en milieu hyperbare;f) de démolition;g) de bâtiment, de structure ou d’élément de structure de 15 m de hauteur ou plus;h) de construction ou de réparation de lignes de transport d’énergie électrique ou des supports de celles-ci;i) où sont effectués des travaux à une distance de 3 m ou moins d’une ligne électrique d’une tension supérieure à 750 V;j) où sont effectués des travaux au-dessus ou à proximité de l’eau;k) où sont effectués des travaux de dragage;l) où sont effectués des travaux dans une centrale électrique ou dans un poste de transformation d’énergie électrique;m) où sont effectués des travaux dans un espace clos;n) où l’on fait l’usage ou la manutention d’explosifs;o) où sont effectués des travaux à risque élevé au sens du paragraphe 3 de l’article 3.23.2 du présent Code;8.1. «chantier de construction de grande importance» : un chantier où sont employés simultanément au moins 500 travailleurs à un moment donné des travaux;9. «chantier souterrain» : un chantier de construction où s’effectuent des travaux reliés à l’excavation de tunnels ou de puits;10. «charge nominale» : charge maximale établie par le fabricant;11. «construction incombustible» : construction dont les membres de la charpente y compris les planchers et les assemblages sont faits de matériaux incombustibles;12. (paragraphe abrogé);12.0. «cordon d’assujettissement» : corde ou sangle dont une extrémité est fixée au harnais de sécurité et dont l’autre extrémité est fixée à un système d’ancrage ou à un autre élément d’une liaison d’arrêt de chute;12.1. «creusement» : tout trou creusé dans le sol, y compris une excavation ou une tranchée;13. «dépôt» : bâtiment, construction ou coffre dans lequel des explosifs sont entreposés;13.1. (paragraphe abrogé);13.2. «dBA» : pondération A - cette pondération réduit l’importance des fréquences extrêmes, en particulier les basses fréquences sous 200 Hz, et augmente celle des fréquences voisines de 2 500 Hz. La pondération A doit être utilisée pour toutes les mesures nécessaires pour évaluer le LEX,8h ou Lex,8h;13.3. «dBC» : pondération C - cette pondération réduit l’importance des fréquences égales ou inférieures à 31 Hz et de celles égales ou supérieures à 8 000 Hz. La pondération C doit être utilisée pour toutes les mesures nécessaires pour évaluer le niveau de pression acoustique de crête;14. «écaillage» : purgeage tel que défini au paragraphe 31;14.1. «échafaudage à crics» : un échafaudage à tour et à plate-forme constitué d’une plate-forme de travail qui se déplace le long de 2 colonnes au moyen de crics;14.2. «échafaudage à tour et à plate-forme» : un échafaudage constitué d’une plate-forme de travail qui se déplace, en montée et en descente au moyen d’un système de levage, le long d’une ou de plusieurs colonnes ainsi que d’un système d’amarrage;14.3. «échafaudage à treuils» : un échafaudage à tour et à plate-forme dont les colonnes sont reliées par des entretoises ou des croisillons supportant une plate-forme de travail qui se déplace au moyen d’un système de levage fait de treuils, de poulies et de câbles;15. «échafaudage d’étaiement» : assemblage de cadres d’échafaudage tubulaire utilisé pour l’étaiement de coffrages à béton;15.01. «échafaudage motorisé» : un échafaudage à tour et à plate-forme constitué d’un système de levage fait d’un moteur électrique, pneumatique, hydraulique, au gaz ou à l’essence;15.1. «échafaudage volant» : une plateforme suspendue par un ou plusieurs câbles fixés à un ancrage et dont le déplacement vertical s’effectue au moyen d’un treuil manuel ou motorisé;16. (paragraphe abrogé);17. «entreprise d’exploitation d’énergie électrique» : une personne, société, compagnie, coopérative ou municipalité exploitant un réseau de transport ou de distribution d’énergie électrique;17.1. «espace clos» : espace qui n’est pas conçu pour être occupé par une personne, notamment un réservoir, un silo, une cuve, un caisson, un pieu de fondation, une cheminée ou un puits d’accès;17.2. «examen non destructif» : un examen par radiographie, ultrason, magnétoscopie ou ressuage, effectué et interprété par un opérateur d’appareillage en essais non destructifs certifié au niveau 2 par l’Organisme de certification national en essais non destructifs du ministère des Ressources naturelles du Canada en vertu de la norme Essais non destructifs - Qualification et certification du personnel, CAN/CGSB-48.9712;18. «excavation» : partie de terrain creusée à une profondeur d’au moins 1,2 m et dont la largeur de la base est supérieure à la profondeur;18.1. «explosif» : toute substance fabriquée, manufacturée ou utilisée pour produire une explosion ou une détonation, tels la poudre à canon, la poudre propulsive, la dynamite, un explosif en bouillie, la gélatine aqueuse, un agent de sautage et un accessoire de sautage;19. (paragraphe abrogé);20. «fabricant» : manufacturier ou son agent ou, dans les cas où la fabrication s’effectue à pied d’oeuvre, l’employeur;21. «facteur de sécurité» : rapport entre la charge de rupture et la charge d’utilisation;21.1. «fibre respirable d’amiante» : toute fibre d’amiante dont le rapport longueur-diamètre est supérieur à 3:1; seules les fibres d’une longueur supérieure à 5 μm doivent être prises en compte à des fins de mesure; 21.2. «filtre à haute efficacité» : filtre pouvant filtrer des particules d’une dimension de 0,3 µm à un taux d’efficacité d’au moins 99,97%;22. «front» : point de travail le plus avancé dans une direction donnée, dans une excavation souterraine, à un niveau donné;23. (paragraphe abrogé);23.0. «hauteur de chute libre» : distance verticale mesurée du début d’une chute, à partir de l’anneau en D du harnais où est fixée la liaison d’arrêt de chute, jusqu’au point où le système d’arrêt de chute commence à appliquer une force pour arrêter la chute;23.1. «ISO» : l’Organisation internationale de normalisation;24. «jumbo» : chariot porte-marteaux conçu pour pratiquer le forage du front sans avoir recours au démontage répétitif des perforatrices;24.0. «liaison d’arrêt de chute» : ensemble des équipements, tel un cordon d’assujettissement, un absorbeur d’énergie, un mousqueton, un connecteur, une corde d’assurance ou un coulisseau, servant à relier un harnais de sécurité à un système d’ancrage;24.1. (paragraphe abrogé);24.2. «matériau friable» : matériau qui peut être émietté, pulvérisé ou réduit en poudre manuellement lorsqu’il est sec ou qui est émietté, pulvérisé ou réduit en poudre;25. «matériau incombustible» : matériau conforme à la norme Méthode d’essai normalisée pour la détermination de l’incombustibilité des matériaux de construction, CAN-4-S114, applicable au moment de la fabrication de l’équipement;25.01. «merlon» : barricade de sacs de sable, monticule de terre ou l’équivalent situés à moins de 50 cm du dépôt et dont la hauteur est au moins aussi élevée que le dépôt;25.1. «mur de protection» : une cloison en contre-plaqué d’au moins 9 mm d’épaisseur ou faite dans un autre matériau rigide, d’une résistance équivalente ou supérieure, qui a une hauteur d’au moins 1,8 m et qui est située à au plus 100 mm du sol;25.2. «NF EN» : norme européenne éditée dans sa version française (NF) en France par l’Association française de normalisation;26. «NFPA» : National Fire Protection Association;26.1. «niveau d’exposition quotidienne au bruit» : le niveau d’exposition quotidienne au bruit est le niveau de pression acoustique continu équivalent (dBA), rapporté à une journée de travail de 8 heures. Il résulte de mesures qui ont intégré tous les types de bruit présents, incluant les bruits impulsionnels;26.2. «niveau de pression acoustique continu équivalent (dBA)» : le niveau de pression acoustique continu équivalent pondéré A est mesuré sur une période de temps donné. Il est identique au niveau de pression acoustique du bruit constant, ayant la même énergie acoustique pondérée A totale pour la même période de temps. Il correspond à des mesures qui ont intégré tous les types de bruit présents, y compris les bruits impulsionnels. Dans les formules du niveau d’exposition quotidienne au bruit, il correspond au Lp,A,eqTe ou au Leq,t soit le niveau de pression acoustique continu équivalent pondéré A pour la durée totale de la journée de travail en heures (Te ou Tw);26.3. «organisme certifié» : un organisme certifié par le Bureau canadien de soudage conformément aux exigences de la norme Qualification des organismes d’inspection en soudage, CSA W178.1;27. «palan fermé» : situation où le moufle du crochet, le lest du câble de levage ou d’autres accessoires fixés au câble de levage entrent en contact avec la pointe de la flèche ou de la fléchette;28. «pare-éclats» : couverture utilisée pour éviter la projection de pierres ou d’autres objets résultant du sautage d’explosifs;28.1. «pièce portante» : une pièce qui subit ou supporte les charges inhérentes à l’utilisation d’un appareil;29. «Pistolet de scellement à basse vélocité» : tout pistolet conçu de façon à ce que lorsqu’il est utilisé avec la charge explosive maximale permise selon les spécifications du fabricant, il n’imprime pas à l’attache une vitesse supérieure à 91,4 m par seconde ni ne lui transmet une énergie cinétique supérieure à 33 joules mesurés à une distance de 1,99 m à 2,01 m de la bouche du pistolet;29.01. «plate-forme élévatrice mobile de personnel» : appareil destiné à déplacer des personnes, de l’outillage et des matériaux vers une position de travail et qui comprend minimalement une structure extensible, un châssis et une plate-forme pourvue de commandes;29.1. «poussières d’amiante» : les particules d’amiante en suspension dans l’air ou les particules d’amiante déposées susceptibles d’être mises en suspension dans l’air des lieux de travail;29.2. «pression acoustique de crête» : valeur maximale du niveau de la pression acoustique instantanée mesurée en décibels avec la pondération C;30. «puits» : passage creusé sous la surface du sol et dont l’axe longitudinal fait un angle de plus de 20º avec l’horizontale;31. «purgeage» : action de provoquer la chute de blocs qui tendent à se détacher d’une paroi;31.01. «SAE» : la Society of Automotive Engineers;31.1. «sellette» : siège conçu pour recevoir un travailleur en position assise, qui est supporté par des élingues ou par un bâti et qui est suspendu à un câble fixé à un ancrage;32. «signaux de danger» : une bande rigide, tel un tréteau, ou une bande flexible, d’une couleur jaune, orange ou rouge, d’une largeur d’au moins 70 mm et installée, en suivant la configuration du terrain ou de la structure, à une hauteur variant de 0,7 m à 1,2 m;33. «surface fragile» : surface n’étant pas prévue pour supporter le poids d’un travailleur, notamment un puits de lumière, un auvent, un pare-soleil ou un plafond en cloison sèche;33.1. «toilette à chasse» : toilette ayant les caractéristiques suivantes:a) la cuvette est munie d’une trappe ou d’un siphon qui la sépare physiquement et visuellement du tuyau d’évacuation ou du réservoir de traitement;b) les déchets sont évacués de la cuvette vers le système d’égout ou dans le réservoir de traitement à l’aide d’un dispositif entraînant un écoulement d’eau ou de produit chimique;33.2. «toilette chimique» : toilette sans cuvette dont les déchets tombent directement dans un réservoir contenant un produit chimique pour le traitement;34. «tranchée» : partie de terrain creusée à une profondeur d’au moins 1,2 m et dont la largeur de la base est égale ou inférieure à la profondeur. La largeur de la base se mesure entre les parois excavées ou entre une paroi excavée et une structure;34.0.1. «travaux au-dessus ou à proximité de l’eau» : travaux effectués au-dessus ou à moins de 2 m d’un plan d’eau ou d’un cours d’eau, soit qui a une profondeur de plus de 1,2 m et permet l’utilisation d’une embarcation, soit dont l’eau s’écoule à plus de 0,51 m/s et peut entraîner une personne;34.1. «trou de mine» : trou de forage destiné au chargement d’explosifs;34.2. «trou raté» : trou de mine chargé d’explosifs n’ayant pas été mis à feu lors du sautage;35. «tunnel» : couloir souterrain construit sans enlever le matériau formant la voûte, et dont l’axe longitudinal fait un angle de 20º ou moins par rapport à l’horizontale;36. «ULC» : Underwriters’ Laboratories of Canada;36.1. «véhicule automoteur» : tout véhicule à moteur monté sur roues, sur chenilles ou sur rails servant à transporter des personnes, des objets ou des matériaux, ou à tirer ou pousser des remorques ou des matériaux, à l’exception d’un véhicule tout terrain et d’un appareil de levage;37. «zone de chargement» : espace qui comprend l’endroit où des travailleurs procèdent au chargement des trous de mine, les trous de mine chargés et en voie de l’être ainsi que l’espace occupé par le matériel et l’équipement nécessaires au chargement;38. «zone de tir» : lieu et espace représentant un risque pour une personne, en raison de la projection, du souffle ou autres conséquences résultant d’un sautage.",,1.1,Article=1.1,
se:1_1-ss:1-p1:1,Provision,Paragraph,1.1,1. «accessoire de sautage» : toute substance explosive servant à la mise à feu des explosifs;,,1.1 al. 1,Article=1.1 | Alinéa=1,
se:1_1-ss:1-p1:10,Provision,Paragraph,1.1,10. «charge nominale» : charge maximale établie par le fabricant;,,1.1 al. 10,Article=1.1 | Alinéa=10,
se:1_1-ss:1-p1:11,Provision,Paragraph,1.1,11. «construction incombustible» : construction dont les membres de la charpente y compris les planchers et les assemblages sont faits de matériaux incombustibles;,,1.1 al. 11,Article=1.1 | Alinéa=11,
se:1_1-ss:1-p1:12,Provision,Paragraph,1.1,12. (paragraphe abrogé);,,1.1 al. 12,Article=1.1 | Alinéa=12,
se:1_1-ss:1-p1:12_0,Provision,Paragraph,1.1,12.0. «cordon d’assujettissement» : corde ou sangle dont une extrémité est fixée au harnais de sécurité et dont l’autre extrémité est fixée à un système d’ancrage ou à un autre élément d’une liaison d’arrêt de chute;,,1.1 al. 12.0,Article=1.1 | Alinéa=12.0,
se:1_1-ss:1-p1:12_1,Provision,Paragraph,1.1,"12.1. «creusement» : tout trou creusé dans le sol, y compris une excavation ou une tranchée;",,1.1 al. 12.1,Article=1.1 | Alinéa=12.1,
se:1_1-ss:1-p1:13,Provision,Paragraph,1.1,"13. «dépôt» : bâtiment, construction ou coffre dans lequel des explosifs sont entreposés;",,1.1 al. 13,Article=1.1 | Alinéa=13,
se:1_1-ss:1-p1:13_1,Provision,Paragraph,1.1,13.1. (paragraphe abrogé);,,1.1 al. 13.1,Article=1.1 | Alinéa=13.1,
