slug,country,iso,url,language,instrument,category,requires_headless,content_type,issue_ref,notes,status
afghanistan,Afghanistan,AFG,,,,unknown,false,html,,WHO member placeholder,pending
albania,Albania,ALB,,,,unknown,false,html,,WHO member placeholder,pending
algeria,Algeria,DZA,,,,unknown,false,html,,WHO member placeholder,pending
american_samoa,American Samoa,ASM,,,,unknown,false,html,,WHO member placeholder,pending
andorra,Andorra,AND,,,,unknown,false,html,,WHO member placeholder,pending
angola,Angola,AGO,,,,unknown,false,html,,WHO member placeholder,pending
anguilla,Anguilla,AIA,,,,unknown,false,html,,WHO member placeholder,pending
antarctica,Antarctica,ATA,,,,unknown,false,html,,WHO member placeholder,pending
antigua_and_barbuda,Antigua and Barbuda,ATG,,,,unknown,false,html,,WHO member placeholder,pending
argentina,Argentina,ARG,,,,unknown,false,html,,WHO member placeholder,done
armenia,Armenia,ARM,,,,unknown,false,html,,WHO member placeholder,pending
aruba,Aruba,ABW,,,,unknown,false,html,,WHO member placeholder,pending
australia,Australia,AUS,,,,unknown,false,html,,WHO member placeholder,done
austria,Austria,AUT,,,,unknown,false,html,,WHO member placeholder,pending
azerbaijan,Azerbaijan,AZE,,,,unknown,false,html,,WHO member placeholder,pending
bahamas,Bahamas,BHS,,,,unknown,false,html,,WHO member placeholder,pending
bahrain,Bahrain,BHR,,,,unknown,false,html,,WHO member placeholder,pending
bangladesh,Bangladesh,BGD,,,,unknown,false,html,,WHO member placeholder,pending
barbados,Barbados,BRB,,,,unknown,false,html,,WHO member placeholder,done
belarus,Belarus,BLR,,,,unknown,false,html,,WHO member placeholder,pending
belgium,Belgium,BEL,,,,unknown,false,html,,WHO member placeholder,pending
belize,Belize,BLZ,,,,unknown,false,html,,WHO member placeholder,pending
benin,Benin,BEN,,,,unknown,false,html,,WHO member placeholder,pending
bermuda,Bermuda,BMU,,,,unknown,false,html,,WHO member placeholder,pending
bhutan,Bhutan,BTN,,,,unknown,false,html,,WHO member placeholder,pending
bolivia,Bolivia,BOL,,,,unknown,false,html,,WHO member placeholder,pending
bosnia_and_herzegovina,Bosnia and Herzegovina,BIH,,,,unknown,false,html,,WHO member placeholder,pending
botswana,Botswana,BWA,,,,unknown,false,html,,WHO member placeholder,pending
bouvet_island,Bouvet Island,BVT,,,,unknown,false,html,,WHO member placeholder,pending
brazil,Brazil,BRA,,,,unknown,false,html,,WHO member placeholder,done
british_indian_ocean_territory,British Indian Ocean Territory,IOT,,,,unknown,false,html,,WHO member placeholder,pending
british_virgin_islands,British Virgin Islands,VGB,,,,unknown,false,html,,WHO member placeholder,pending
brunei,Brunei,BRN,,,,unknown,false,html,,WHO member placeholder,pending
bulgaria,Bulgaria,BGR,,,,unknown,false,html,,WHO member placeholder,pending
burkina_faso,Burkina Faso,BFA,,,,unknown,false,html,,WHO member placeholder,pending
burundi,Burundi,BDI,,,,unknown,false,html,,WHO member placeholder,pending
cambodia,Cambodia,KHM,,,,unknown,false,html,,WHO member placeholder,pending
cameroon,Cameroon,CMR,,,,unknown,false,html,,WHO member placeholder,pending
canada,Canada,CAN,,,,unknown,false,html,,WHO member placeholder,pending
cape_verde,Cape Verde,CPV,,,,unknown,false,html,,WHO member placeholder,pending
caribbean_netherlands,Caribbean Netherlands,BES,,,,unknown,false,html,,WHO member placeholder,pending
cayman_islands,Cayman Islands,CYM,,,,unknown,false,html,,WHO member placeholder,pending
central_african_republic,Central African Republic,CAF,,,,unknown,false,html,,WHO member placeholder,pending
chad,Chad,TCD,,,,unknown,false,html,,WHO member placeholder,pending
chile,Chile,CHL,,,,unknown,false,html,,WHO member placeholder,done
china,China,CHN,,,,unknown,false,html,,WHO member placeholder,done
christmas_island,Christmas Island,CXR,,,,unknown,false,html,,WHO member placeholder,pending
cocos_(keeling)_islands,Cocos (Keeling) Islands,CCK,,,,unknown,false,html,,WHO member placeholder,pending
colombia,Colombia,COL,,,,unknown,false,html,,WHO member placeholder,done
comoros,Comoros,COM,,,,unknown,false,html,,WHO member placeholder,pending
cook_islands,Cook Islands,COK,,,,unknown,false,html,,WHO member placeholder,pending
costa_rica,Costa Rica,CRI,,,,unknown,false,html,,WHO member placeholder,pending
croatia,Croatia,HRV,,,,unknown,false,html,,WHO member placeholder,pending
cuba,Cuba,CUB,,,,unknown,false,html,,WHO member placeholder,done
curaçao,Curaçao,CUW,,,,unknown,false,html,,WHO member placeholder,pending
cyprus,Cyprus,CYP,,,,unknown,false,html,,WHO member placeholder,pending
czechia,Czechia,CZE,,,,unknown,false,html,,WHO member placeholder,pending
dr_congo,DR Congo,COD,,,,unknown,false,html,,WHO member placeholder,pending
denmark,Denmark,DNK,,,,unknown,false,html,,WHO member placeholder,pending
djibouti,Djibouti,DJI,,,,unknown,false,html,,WHO member placeholder,pending
dominica,Dominica,DMA,,,,unknown,false,html,,WHO member placeholder,pending
dominican_republic,Dominican Republic,DOM,,,,unknown,false,html,,WHO member placeholder,done
ecuador,Ecuador,ECU,,,,unknown,false,html,,WHO member placeholder,pending
egypt,Egypt,EGY,,,,unknown,false,html,,WHO member placeholder,done
el_salvador,El Salvador,SLV,,,,unknown,false,html,,WHO member placeholder,pending
equatorial_guinea,Equatorial Guinea,GNQ,,,,unknown,false,html,,WHO member placeholder,pending
eritrea,Eritrea,ERI,,,,unknown,false,html,,WHO member placeholder,pending
estonia,Estonia,EST,,,,unknown,false,html,,WHO member placeholder,pending
eswatini,Eswatini,SWZ,,,,unknown,false,html,,WHO member placeholder,pending
ethiopia,Ethiopia,ETH,,,,unknown,false,html,,WHO member placeholder,pending
falkland_islands,Falkland Islands,FLK,,,,unknown,false,html,,WHO member placeholder,pending
faroe_islands,Faroe Islands,FRO,,,,unknown,false,html,,WHO member placeholder,pending
fiji,Fiji,FJI,,,,unknown,false,html,,WHO member placeholder,pending
finland,Finland,FIN,,,,unknown,false,html,,WHO member placeholder,done
france,France,FRA,,,,unknown,false,html,,WHO member placeholder,done
french_guiana,French Guiana,GUF,,,,unknown,false,html,,WHO member placeholder,pending
french_polynesia,French Polynesia,PYF,,,,unknown,false,html,,WHO member placeholder,pending
french_southern_and_antarctic_lands,French Southern and Antarctic Lands,ATF,,,,unknown,false,html,,WHO member placeholder,pending
gabon,Gabon,GAB,,,,unknown,false,html,,WHO member placeholder,pending
gambia,Gambia,GMB,,,,unknown,false,html,,WHO member placeholder,pending
georgia,Georgia,GEO,,,,unknown,false,html,,WHO member placeholder,pending
germany,Germany,DEU,,,,unknown,false,html,,WHO member placeholder,done
ghana,Ghana,GHA,,,,unknown,false,html,,WHO member placeholder,pending
gibraltar,Gibraltar,GIB,,,,unknown,false,html,,WHO member placeholder,pending
greece,Greece,GRC,,,,unknown,false,html,,WHO member placeholder,done
greenland,Greenland,GRL,,,,unknown,false,html,,WHO member placeholder,pending
grenada,Grenada,GRD,,,,unknown,false,html,,WHO member placeholder,pending
guadeloupe,Guadeloupe,GLP,,,,unknown,false,html,,WHO member placeholder,pending
guam,Guam,GUM,,,,unknown,false,html,,WHO member placeholder,pending
